electorate_id,locality_suburb_id,postcode_id,state_id
16,5313,1275,4
16,5549,1275,4
16,5918,1265,4
16,6287,1261,4
16,6406,1275,4
16,6453,1265,4
16,6456,1274,4
16,6459,1265,4
16,6518,1263,4
16,6549,1265,4
16,6659,1275,4
16,6750,1258,4
16,7013,1259,4
16,7016,1264,4
16,7127,1265,4
16,7228,1261,4
17,15,2140,6
17,21,2139,6
17,38,2142,6
17,111,2145,6
17,224,2139,6
17,416,2145,6
17,558,2138,6
17,1239,2143,6
17,1339,2143,6
17,1340,2143,6
17,1744,2145,6
17,1752,2145,6
17,1787,2142,6
17,2002,2114,6
17,2055,2142,6
17,2187,2144,6
17,2247,2142,6
17,2254,2141,6
17,2513,2140,6
17,2614,2143,6
17,2689,2145,6
17,2958,2142,6
17,3089,2143,6
17,3132,2145,6
17,3153,2143,6
17,3188,2143,6
17,3297,2141,6
17,3319,2114,6
17,3490,2143,6
17,3502,2139,6
17,3550,2144,6
17,3559,2139,6
17,3598,2142,6
17,3661,2148,6
17,3734,2143,6
17,3739,2139,6
17,3764,2143,6
17,3804,2143,6
17,3815,2145,6
17,3822,2114,6
17,3865,2144,6
17,3885,2142,6
17,3940,2139,6
17,4103,2144,6
17,4114,2145,6
17,4133,2139,6
17,4134,2139,6
17,4147,2127,6
17,4215,2140,6
17,4415,2146,6
17,4450,2148,6
17,4456,2114,6
17,4542,2140,6
17,4599,2143,6
17,4610,2138,6
17,4635,2142,6
17,4640,2138,6
17,4690,2143,6
17,4699,2144,6
17,4716,2141,6
17,4726,2143,6
17,4745,2142,6
17,4822,2141,6
17,4832,2145,6
17,4898,2145,6
17,5163,2139,6
17,5298,2147,6
17,5335,2144,6
17,5346,2138,6
17,5380,2140,6
17,5408,2145,6
17,5410,2139,6
17,5468,2140,6
17,5469,2114,6
17,5504,2141,6
17,5522,2114,6
17,5651,2145,6
17,5676,2143,6
17,5716,2145,6
17,5719,2139,6
17,5729,2145,6
17,5755,2136,6
17,5760,2144,6
17,5763,2139,6
17,5779,2144,6
17,5843,2145,6
17,5846,2142,6
17,5850,2143,6
17,5875,2143,6
17,5877,2144,6
17,5891,2138,6
17,5936,2144,6
17,6046,2144,6
17,6057,2145,6
17,6071,2114,6
17,6089,2143,6
17,6097,2145,6
17,6130,2140,6
17,6193,2140,6
17,6219,2138,6
18,450,74,2
18,2502,66,2
18,2617,64,2
18,2618,64,2
18,3752,68,2
18,3755,67,2
18,4412,69,2
18,4805,74,2
18,5145,68,2
18,5421,67,2
18,5915,75,2
18,6154,73,2
18,6209,71,2
18,6210,73,2
18,6502,70,2
18,6630,66,2
18,6631,66,2
18,6819,71,2
18,6852,72,2
18,6853,72,2
18,7080,71,2
18,7141,73,2
18,7143,74,2
18,7190,71,2
18,7262,70,2
19,294,1896,8
19,583,1900,8
19,1090,1896,8
19,2202,1896,8
19,2514,1896,8
19,2993,1897,8
19,3766,1897,8
19,4200,1897,8
19,4378,1903,8
19,4748,1897,8
19,4797,1894,8
19,5034,1905,8
19,5108,1908,8
19,5269,1896,8
19,5270,1896,8
19,5366,1899,8
19,5593,1896,8
19,5699,1896,8
19,6091,1894,8
19,6284,1896,8
19,6360,1896,8
19,6402,1897,8
19,6457,1897,8
19,6469,1901,8
19,6476,1896,8
19,6605,1897,8
19,6671,1898,8
19,6728,1902,8
19,6761,1898,8
19,6771,1904,8
19,7006,1896,8
19,7142,1898,8
19,7159,1896,8
19,7180,1898,8
19,7226,1899,8
20,107,1181,4
20,114,1200,4
20,424,1178,4
20,438,1205,4
20,467,1209,4
