id,locality_suburb
887,Beechboro
888,Beecher
889,Beechford
890,Beechina
891,Beechmont
892,Beechwood
893,Beechworth
894,Beecroft
895,Beecroft Peninsula
896,Beedelup
897,Beela
898,Beelbangera
899,Beelbee
900,Beelbi Creek
901,Beelerup
902,Beeliar
903,Beemunnel
904,Beenaam Valley
905,Beenak
906,Beenleigh
907,Beenong
908,Beerburrum
909,Beermullah
910,Beeron
911,Beerwah
912,Beetaloo Valley
913,Bega
914,Beggan Beggan
915,Begonia
916,Beilba
917,Bejoording
918,Belair
919,Belalie East
920,Belalie North
921,Belanglo
922,Belbora
923,Belcong
924,Belconnen
925,Belconnen District
926,Beldon
927,Belfield
928,Belford
929,Belfrayden
930,Belgian Gardens
931,Belgrave
932,Belgrave Heights
933,Belgrave South
934,Belgravia
935,Belhus
936,Belimbla Park
937,Belivah
938,Bell
939,Bell Bay
940,Bell Park
941,Bell Post Hill
942,Bella Creek
943,Bella Vista
944,Bellamack
945,Bellambi
946,Bellangry
947,Bellara
948,Bellarine
949,Bellata
950,Bellawongarah
951,Bellbird
952,Bellbird Creek
953,Bellbird Heights
954,Bellbird Park
955,Bellbowrie
956,Bellbrae
957,Bellbridge
958,Bellbrook
959,Bellellen
960,Bellenden Ker
961,Bellerive
962,Bellevue
963,Bellevue Heights
964,Bellevue Hill
965,Bellfield
966,Belli Park
967,Bellimbopinni
968,Bellingen
969,Bellingham
970,Bellmere
971,Bellmount Forest
972,Bells Beach
973,Bells Bridge
974,Bells Creek
975,Bellthorpe
976,Belltrees
977,Belmont
978,Belmont North
979,Belmont South
980,Belmore
981,Belmore River
982,Belmunda
983,Beloka
984,Belowra
985,Belrose
986,Beltana
987,Belton
988,Belvedere
989,Belvidere
990,Belyando
991,Bemboka
992,Bemerside
993,Bemm River
994,Ben Buckler
995,Ben Buckley
996,Ben Bullen
997,Ben Lomond
998,Ben Nevis
999,Bena
1000,Benair
1001,Benalla
1002,Benambra
1003,Benandarah
1004,Benaraby
1005,Benarkin
1006,Benarkin North
1007,Benayeo
1008,Benbournie
1009,Bencubbin
1010,Bend Of Islands
1011,Bendalong
1012,Bendemeer
1013,Bendick Murrell
1014,Bendigo
1015,Bendoc
1016,Bendolba
1017,Bendoura
1018,Benerembah
1019,Bengalla
1020,Benger
1021,Bengworden
1022,Benholme
1023,Beni
1024,Benjaberring
1025,Benjeroop
1026,Benjinup
1027,Benloch
1028,Bennett Springs
1029,Bennetts Green
1030,Bennettswood
1031,Bennison
1032,Benobble
1033,Benolong
1034,Benowa
1035,Benowa Waters
1036,Bensville
1037,Bentinck Island
1038,Bentleigh
1039,Bentleigh East
1040,Bentley
1041,Bentley Park
1042,Benwerrin
1043,Berajondo
1044,Berala
1045,Berambing
1046,Berat
1047,Beremboke
1048,Beresfield
1049,Beresford
1050,Bergalia
1051,Bergen
1052,Bergins Hill
1053,Berkeley
1054,Berkeley Vale
1055,Berkshire Park
1056,Berkshire Valley
1057,Berlang
1058,Bermagui
1059,Bermagui South
1060,Berowra
1061,Berowra Heights
1062,Berowra Waters
1063,Berrambool
1064,Berrara
1065,Berremangra
1066,Berri
1067,Berrico
1068,Berridale
1069,Berriedale
1070,Berrigal
1071,Berrigan
1072,Berrilee
1073,Berrima
1074,Berrima Junction
1075,Berrimah
1076,Berrimal
1077,Berrinba
1078,Berringa
1079,Berringama
1080,Berringer Lake
1081,Berriwillock
1082,Berry
1083,Berry Jerry
1084,Berry Mountain
1085,Berry Park
1086,Berrybank
1087,Berrys Creek
1088,Berserker
1089,Berthong
1090,Bertram
1091,Berwick
1092,Beryl
1093,Bessiebelle
1094,Bet Bet
1095,Bete Bolong
1096,Bete Bolong North
1097,Bethanga
1098,Bethania
1099,Bethany
1100,Bethel
1101,Bethungra
1102,Betley
1103,Beulah
1104,Beulah Park
1105,Bevendale
1106,Beverford
1107,Beveridge
1108,Beverley
1109,Beverley Park
1110,Beverly Hills
1111,Bewong
1112,Bexhill
1113,Bexley
1114,Bexley North
1115,Biala
1116,Biarra
1117,Bibaringa
1118,Bibbenluke
1119,Biboohra
1120,Bibra Lake
1121,Bicheno
1122,Bickley
1123,Bickley Vale
1124,Bicton
1125,Biddaddaba
1126,Biddelia
1127,Biddeston
1128,Biddon
1129,Bidgeemia
1130,Bidwill
1131,Bidyadanga
1132,Bielsdown Hills
1133,Big Bend
1134,Big Desert
1135,Big Green Island
1136,Big Grove
1137,Big Hill
1138,Big Jacks Creek
1139,Big Pats Creek
1140,Big Ridge
1141,Big Springs
1142,Bigga
1143,Biggara
1144,Biggenden
1145,Biggera Waters
1146,Biggs Flat
1147,Bilambil
1148,Bilambil Heights
1149,Bilbarin
1150,Bilbul
1151,Bilgola
1152,Bilgola Beach
1153,Bilgola Plateau
1154,Bilinga
1155,Bilingurr
1156,Billa Billa
1157,Billabong
1158,Billeroy
1159,Billilingra
1160,Billimari
1161,Billinudgel
1162,Billys Creek
1163,Billywillinga
1164,Biloela
1165,Bilpin
1166,Bilyana
1167,Bimbaya
1168,Bimberi
1169,Bimbi
1170,Bimbijy
1171,Bimbimbie
1172,Bimbourie
1173,Binalong
1174,Binalong Bay
1175,Binbee
1176,Binda
1177,Bindarrah
1178,Bindebango
1179,Bindera
1180,Bindi
1181,Bindi Bindi
1182,Bindook
1183,Bindoon
1184,Bindoon Training Area
1185,Binduli
1186,Bingara
1187,Bingeebeebra Creek
1188,Bingegang
1189,Bingie
1190,Bingil Bay
1191,Binginwarri
1192,Bingleburra
1193,Bingo Munjie
1194,Biniguy
1195,Binjour
1196,Binjura
1197,Binna Burra
1198,Binnaway
1199,Binningup
1200,Binnu
1201,Binnum
1202,Binya
1203,Birchgrove
1204,Birchip
1205,Birchip West
1206,Birchmont
1207,Birchmore
1208,Birchs Bay
1209,Birdsville
1210,Birdwood
1211,Birdwoodton
1212,Birganbigil
1213,Birkalla
1214,Birkdale
1215,Birkenhead
1216,Birmingham Gardens
1217,Birnam
1218,Birralee
1219,Birregurra
1220,Birriwa
1221,Birrong
1222,Birtinya
1223,Biscuit Flat
1224,Bishops Bridge
1225,Bishopsbourne
1226,Bithramere
